2026-04-13 13:50:34|INFO|RESET_WORKING_SOURCES||COPY_WORKING_FILES|5|Werkkopieën van bronbestanden aangemaakt
2026-04-13 13:50:34|INFO|RESET_DWH||DELETE_OLD_DWH|1|Oude database verwijderd: BikeToDrive_DWH.db
2026-04-13 13:50:34|INFO|RESET_DWH||CREATE_NEW_DWH|1|Nieuw DWH en schema aangemaakt
2026-04-13 13:50:38|INFO|RUN_ETL||START||ETL gestart met load_date=2026-04-08
2026-04-13 13:50:38|INFO|EXTRACT|Klant|READ_SOURCE_TABLE|20|Bronbestand: BikeToDrive_1_Accessoireverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Klant|READ_SOURCE_TABLE|25|Bronbestand: BikeToDrive_2_Fietsverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Filiaal|READ_SOURCE_TABLE|4|Bronbestand: BikeToDrive_1_Accessoireverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Filiaal|READ_SOURCE_TABLE|4|Bronbestand: BikeToDrive_2_Fietsverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Filiaal|READ_SOURCE_TABLE|5|Bronbestand: BikeToDrive_3_Onderhoud.db
2026-04-13 13:50:38|INFO|EXTRACT|Monteur|READ_SOURCE_TABLE|10|Bronbestand: BikeToDrive_1_Accessoireverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Monteur|READ_SOURCE_TABLE|10|Bronbestand: BikeToDrive_2_Fietsverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Monteur|READ_SOURCE_TABLE|15|Bronbestand: BikeToDrive_3_Onderhoud.db
2026-04-13 13:50:38|INFO|EXTRACT|Leverancier|READ_SOURCE_TABLE|5|Bronbestand: BikeToDrive_1_Accessoireverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Leverancier|READ_SOURCE_TABLE|5|Bronbestand: BikeToDrive_4_Accessoire_Inkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Fabrikant|READ_SOURCE_TABLE|10|Bronbestand: BikeToDrive_2_Fietsverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Fabrikant|READ_SOURCE_TABLE|11|Bronbestand: BikeToDrive_3_Onderhoud.db
2026-04-13 13:50:38|INFO|EXTRACT|Fabrikant|READ_SOURCE_TABLE|10|Bronbestand: BikeToDrive_5_Fiets_Inkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Accessoire|READ_SOURCE_TABLE|10|Bronbestand: BikeToDrive_1_Accessoireverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Accessoire|READ_SOURCE_TABLE|13|Bronbestand: BikeToDrive_4_Accessoire_Inkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Fiets|READ_SOURCE_TABLE|75|Bronbestand: BikeToDrive_2_Fietsverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Fiets|READ_SOURCE_TABLE|30|Bronbestand: BikeToDrive_3_Onderhoud.db
2026-04-13 13:50:38|INFO|EXTRACT|Fiets|READ_SOURCE_TABLE|75|Bronbestand: BikeToDrive_5_Fiets_Inkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Accessoire_Verkoop|READ_SOURCE_TABLE|100|Bronbestand: BikeToDrive_1_Accessoireverkoop.db
2026-04-13 13:50:38|INFO|EXTRACT|Fiets_Verkoop|READ_SOURCE_TABLE|150|Bronbestand: BikeToDrive_2_Fietsverkoop.db
